Value	Time

10000	0.578
10001	0.594
10002	0.562
10003	0.563
10004	0.562
10005	0.563
10006	0.562
10007	0.563
10008	0.562
10009	0.563
10010	0.578
10011	0.563
10012	0.578
10013	0.562
10014	0.563
10015	0.562
10016	0.563
10017	0.562
10018	0.563
10019	0.562
10020	0.547
10021	0.563
10022	0.547
10023	0.563
10024	0.578
10025	0.563
10026	0.562
10027	0.563
10028	0.547
10029	0.562
10030	0.563
10031	0.562
10032	0.563
10033	0.562
10034	0.563
10035	0.562
10036	0.563
10037	0.562
10038	0.563
10039	0.562
10040	0.563
10041	0.562
10042	0.563
10043	0.562
10044	0.563
10045	0.562
10046	0.563
10047	0.563
10048	0.562
10049	0.563
10050	0.546
10051	0.563
10052	0.563
10053	0.562
10054	0.563
10055	0.562
10056	0.578
10057	0.547
10058	0.547
10059	0.563
10060	0.562
10061	0.563
10062	0.562
10063	0.563
10064	0.562
10065	0.579
10066	0.562
10067	0.563
10068	0.562
10069	0.563
10070	0.562
10071	0.563
10072	0.562
10073	0.563
10074	0.562
10075	0.547
10076	0.563
10077	0.562
10078	0.563
10079	0.562
10080	0.563
10081	0.562
10082	0.563
10083	0.563
10084	0.562
10085	0.563
10086	0.562
10087	0.563
10088	0.562
10089	0.563
10090	0.562
10091	0.563
10092	0.562
10093	0.563
10094	0.562
10095	0.563
10096	0.547
10097	0.562
10098	0.563
10099	0.562
10100	0.563
