Value	Time

10000	0.485
10001	0.453
10002	0.453
10003	0.469
10004	0.469
10005	0.453
10006	0.469
10007	0.453
10008	0.469
10009	0.453
10010	0.469
10011	0.453
10012	0.469
10013	0.468
10014	0.454
10015	0.468
10016	0.453
10017	0.469
10018	0.453
10019	0.454
10020	0.468
10021	0.453
10022	0.469
10023	0.453
10024	0.454
10025	0.468
10026	0.453
10027	0.469
10028	0.453
10029	0.454
10030	0.468
10031	0.453
10032	0.469
10033	0.453
10034	0.454
10035	0.468
10036	0.453
10037	0.469
10038	0.453
10039	0.454
10040	0.468
10041	0.453
10042	0.469
10043	0.453
10044	0.469
10045	0.453
10046	0.469
10047	0.453
10048	0.469
10049	0.453
10050	0.469
10051	0.453
10052	0.453
10053	0.469
10054	0.453
10055	0.469
10056	0.453
10057	0.469
10058	0.453
10059	0.453
10060	0.469
10061	0.453
10062	0.469
10063	0.453
10064	0.469
10065	0.453
10066	0.453
10067	0.469
10068	0.453
10069	0.469
10070	0.453
10071	0.469
10072	0.453
10073	0.453
10074	0.469
10075	0.453
10076	0.469
10077	0.453
10078	0.468
10079	0.454
10080	0.453
10081	0.469
10082	0.453
10083	0.468
10084	0.454
10085	0.453
10086	0.469
10087	0.453
10088	0.468
10089	0.454
10090	0.468
10091	0.454
10092	0.468
10093	0.453
10094	0.454
10095	0.468
10096	0.453
10097	0.469
10098	0.453
10099	0.469
10100	0.453
