Value	No. of Coins Required

10000	169
10001	170
10002	168
10003	169
10004	169
10005	170
10006	170
10007	171
10008	167
10009	168
10010	168
10011	169
10012	169
10013	170
10014	168
10015	169
10016	169
10017	170
10018	170
10019	171
10020	167
10021	168
10022	168
10023	169
10024	169
10025	170
10026	168
10027	169
10028	169
10029	170
10030	170
10031	171
10032	168
10033	169
10034	169
10035	170
10036	170
10037	171
10038	169
10039	170
10040	170
10041	171
10042	171
10043	172
10044	168
10045	169
10046	169
10047	170
10048	170
10049	171
10050	169
10051	170
10052	170
10053	171
10054	171
10055	172
10056	168
10057	169
10058	169
10059	170
10060	170
10061	171
10062	169
10063	170
10064	170
10065	171
10066	171
10067	172
10068	168
10069	169
10070	169
10071	170
10072	170
10073	171
10074	169
10075	170
10076	170
10077	171
10078	171
10079	172
10080	168
10081	169
10082	169
10083	170
10084	170
10085	171
10086	169
10087	170
10088	170
10089	171
10090	171
10091	172
10092	169
10093	170
10094	170
10095	171
10096	171
10097	172
10098	170
10099	171
10100	171
