Value	No. of Coins Required

10000	70
10001	71
10002	72
10003	73
10004	73
10005	72
10006	71
10007	72
10008	73
10009	72
10010	73
10011	69
10012	70
10013	71
10014	72
10015	73
10016	74
10017	70
10018	71
10019	72
10020	73
10021	74
10022	73
10023	71
10024	70
10025	71
10026	72
10027	73
10028	74
10029	72
10030	71
10031	72
10032	73
10033	74
10034	75
10035	73
10036	72
10037	71
10038	72
10039	73
10040	74
10041	74
10042	73
10043	72
10044	73
10045	74
10046	73
10047	74
10048	70
10049	71
10050	67
10051	68
10052	69
10053	70
10054	71
10055	72
10056	68
10057	69
10058	70
10059	71
10060	72
10061	71
10062	69
10063	68
10064	69
10065	70
10066	71
10067	72
10068	70
10069	69
10070	70
10071	71
10072	72
10073	73
10074	71
10075	70
10076	69
10077	70
10078	71
10079	72
10080	72
10081	71
10082	70
10083	71
10084	72
10085	71
10086	72
10087	68
10088	69
10089	70
10090	71
10091	72
10092	73
10093	69
10094	70
10095	71
10096	72
10097	73
10098	72
10099	70
10100	69
