Value	Time

2000	0.25
2001	0.265
2002	0.25
2003	0.25
2004	0.266
2005	0.25
2006	0.25
2007	0.25
2008	0.25
2009	0.25
2010	0.25
2011	0.265
2012	0.25
2013	0.266
2014	0.25
2015	0.265
2016	0.25
2017	0.25
2018	0.266
2019	0.25
2020	0.265
2021	0.266
2022	0.25
2023	0.266
2024	0.265
2025	0.266
2026	0.266
2027	0.25
2028	0.265
2029	0.25
2030	0.25
2031	0.266
2032	0.25
2033	0.265
2034	0.266
2035	0.25
2036	0.25
2037	0.266
2038	0.25
2039	0.25
2040	0.25
2041	0.25
2042	0.266
2043	0.25
2044	0.266
2045	0.25
2046	0.25
2047	0.266
2048	0.25
2049	0.266
2050	0.265
2051	0.25
2052	0.266
2053	0.266
2054	0.25
2055	0.25
2056	0.266
2057	0.265
2058	0.25
2059	0.25
2060	0.266
2061	0.265
2062	0.25
2063	0.266
2064	0.266
2065	0.265
2066	0.25
2067	0.266
2068	0.266
2069	0.265
2070	0.266
2071	0.25
2072	0.266
2073	0.265
2074	0.266
2075	0.265
2076	0.25
2077	0.25
2078	0.266
2079	0.265
2080	0.266
2081	0.266
2082	0.265
2083	0.266
2084	0.25
2085	0.266
2086	0.265
2087	0.266
2088	0.265
2089	0.266
2090	0.266
2091	0.25
2092	0.265
2093	0.266
2094	0.266
2095	0.265
2096	0.266
2097	0.266
2098	0.265
2099	0.266
2100	0.266
2101	0.265
2102	0.266
2103	0.265
2104	0.266
2105	0.266
2106	0.265
2107	0.266
2108	0.266
2109	0.265
2110	0.266
2111	0.266
2112	0.259
2113	0.259
2114	0.25
2115	0.25
2116	0.25
2117	0.25
2118	0.25
2119	0.266
2120	0.266
2121	0.265
2122	0.266
2123	0.266
2124	0.265
2125	0.266
2126	0.266
2127	0.265
2128	0.266
2129	0.266
2130	0.265
2131	0.266
2132	0.25
2133	0.266
2134	0.265
2135	0.266
2136	0.266
2137	0.265
2138	0.266
2139	0.266
2140	0.266
2141	0.265
2142	0.266
2143	0.266
2144	0.265
2145	0.266
2146	0.265
2147	0.266
2148	0.265
2149	0.266
2150	0.281
2151	0.266
2152	0.266
2153	0.265
2154	0.282
2155	0.265
2156	0.266
2157	0.265
2158	0.266
2159	0.265
2160	0.266
2161	0.266
2162	0.266
2163	0.266
2164	0.265
2165	0.265
2166	0.266
2167	0.266
2168	0.281
2169	0.266
2170	0.265
2171	0.266
2172	0.265
2173	0.281
2174	0.266
2175	0.266
2176	0.281
2177	0.266
2178	0.265
2179	0.266
2180	0.265
2181	0.281
2182	0.266
2183	0.281
2184	0.266
2185	0.266
2186	0.281
2187	0.265
2188	0.282
2189	0.265
2190	0.266
2191	0.265
2192	0.266
2193	0.265
2194	0.281
2195	0.266
2196	0.281
2197	0.266
2198	0.281
2199	0.266
2200	0.281
